categories,name,reviews.rating,reviews.text,reviews.title,Tag_1,Tag_2,Tag_3,Tag_4,Tag_5,Tag_6,Wine & Spirits,Cocktail Mixers,Wine,Spirits,Meal Solutions,Drinks,Juice & Cider,Cocktail Mixes
"Food & Beverage,Beverages,Wine, Beer & Liquor,Wine",Ecco Domani174 Pinot Grigio - 750ml Bottle,5.0,This a fantastic white wine for any occasion!,My Favorite White Wine,Food & Beverage,Beverages,Wine,Beer & Liquor,Wine,,0,0,1,0,0,0,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Wine",Fresh Craft174 Mango Citrus - 4pk / 250ml Bottle,5.0,"Tart, not sweet...very refreshing and delicious!",Yum!!,Food & Beverage,Beverages,Wine,Beer & Liquor,Wine,,0,0,1,0,0,0,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Wine",1000 Stories174 Zinfandel - 750ml Bottle,5.0,I was given this wine so it was a delightful surprise to find that it has a flavorful and delicious taste! A new favorite!!!!,A New Favorite!,Food & Beverage,Beverages,Wine,Beer & Liquor,Wine,,0,0,1,0,0,0,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Wine",1000 Stories174 Zinfandel - 750ml Bottle,5.0,This is a phenomenal wine and my new favorite red.,"Bold, Flavorful, Aromatic, Delicious",Food & Beverage,Beverages,Wine,Beer & Liquor,Wine,,0,0,1,0,0,0,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Wine",Pink Moscato - 3l Bottle - Wine Cube153,5.0,4 750ml bottles for the price of two With way less packaging YES PLEASE! I was nervous it was too good to be true and I wouldn't like the wine but it's fantastic! I have to go a bit out of my way to get it (I live near a state line and it isn't sold in my state due to liquor laws) but it's worth it.,"Yum! Plus, Environmentally Friendly!",Food & Beverage,Beverages,Wine,Beer & Liquor,Wine,,0,0,1,0,0,0,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Beer",Beck's174 Non Alcoholic Beer - 6pk / 12oz Bottles,5.0,I LOVE Becks NA. It tastes just like a regular ale. It smells like one too. It tastes great. It's the only NA that I drink. My friends love it too. It has a great head when you pour.,Great Taste,Food & Beverage,Beverages,Wine,Beer & Liquor,Beer,,0,0,1,0,0,0,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Wine",Apothic174 Red Blend - 750ml Bottle,3.0,This wine has a wonderful but strong aroma its a bit bitter has a bite to it but still goodit was worth it in the end,Simply Wonderful,Food & Beverage,Beverages,Wine,Beer & Liquor,Wine,,0,0,1,0,0,0,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Wine",Apothic174 Red Blend - 750ml Bottle,2.0,"I would give one more star if it came clean on the bottle and called itself a 'sweet red'. Instead it get's poetic and grandiose about itself when all it is is a blend which (standard practice) gets a dash of grape juice concentrate to sweeten it. It also looses a star for the price, I rather look to the side of my Target's shelves and pick-up a Lambrusco for about 3-4 less.",A Sweet Red.,Food & Beverage,Beverages,Wine,Beer & Liquor,Wine,,0,0,1,0,0,0,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Wine",California Roots Moscato White Wine - 750ml,5.0,Delicious and very affordable,,Food & Beverage,Beverages,Wine,Beer & Liquor,Wine,,0,0,1,0,0,0,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Wine",Charles Charles174 Red Blend - 750ml Bottle,5.0,"This is a very smooth red with Aromas of cocoa, coffee, tobacco sweet black cherry. Bold but soft. I highly recommend this one.",Charles & Charles Red Blend,Food & Beverage,Beverages,Wine,Beer & Liquor,Wine,,0,0,1,0,0,0,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Wine",Fancy Pants174 Sauvignon Blanc - 750ml Bottle,5.0,"Based on positive reviews, I served all of the Fancy Pants varieties at a recent party. My guests and I loved them! Since I am not a wine expert, I will provide some details on this variety from the Fancy Pants website: ...is like sunshine in the glass. Its brisk and bright, with inviting citrus, melon and passion fruit aromas leading to mouthwatering grapefruit and zesty lime flavors with hints of minerality on the palate. Vibrant acidity and a crisp, clean finish make this wine a versatile partner for a wide range of foodsespecially succulent seafood, Mediterranean-style grilled vegetables, and salads. Served well chilled, our Sauvignon Blanc is fun and friendlythe perfect pour for sunny afternoons and picnics.",This Wine Made My Party!,Food & Beverage,Beverages,Wine,Beer & Liquor,Wine,,0,0,1,0,0,0,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Wine",Martini Rossi174 Asti Spumante Sparkling Wine - 750ml Bottle,5.0,Nice fruity and sweet taking sparkling wine. Goes great in mimosa. You have to try it to see how you will like it. Even the guys would enjoy this at your wedding!,Nice Sparkling Wine Compared To Champagne,Food & Beverage,Beverages,Wine,Beer & Liquor,Wine,,0,0,1,0,0,0,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Beer",603174 Winni Amber Ale - 6pk / 12oz Cans,5.0,A rich amber Ale with a subtle but noticeable hop character. Great beer to pair with food!,Great Nh Beer!,Food & Beverage,Beverages,Wine,Beer & Liquor,Beer,,0,0,1,0,0,0,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Beer",603174 White Peaks Ipa - 6pk / 12oz Cans,5.0,"This light bodied IPA is dry hopped with cascade for a bold and bright HP aroma, balanced by a refreshing and crisp Ale. Great for a cookout out day at the beach, love it!",Dry-Hopped Ipa!,Food & Beverage,Beverages,Wine,Beer & Liquor,Beer,,0,0,1,0,0,0,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Beer",603174 White Peaks Ipa - 6pk / 12oz Cans,5.0,"This light bodied IPA is dry hopped with cascade for a bold and bright HP aroma, balanced by a refreshing and crisp Ale. Great for a cookout out day at the beach, love it!",Dry-hopped Ipa!,Food & Beverage,Beverages,Wine,Beer & Liquor,Beer,,0,0,1,0,0,0,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Wine",Sofia Coppola174 Riesling - 750ml Bottle,5.0,Great for a perfect summer day or a get together with the girls.,Lovely! Try It!,Food & Beverage,Beverages,Wine,Beer & Liquor,Wine,,0,0,1,0,0,0,0,0
